saldo_corrente,duracao_emp_meses,historico_credito,motivo,quantia,saldo_poupanca,tempo_empregado,porcentagem_renda,anos_residencia,idade,outro_credito,residencia,qtd_emprestimos_existentes,emprego,dependentes,telefone,inadimplente
desconhecido,10.0,critico,moveis/eletrodomesticos,2146,< 100 DM,< 1 ano,1.0,3.0,23,nenhum,alugada,2,qualificado,1,nao,nao
desconhecido,60.0,critico,carro,13756,desconhecido,> 7 anos,2.0,4.0,63,banco,outros,1,gerencial,1,sim,nao
1 - 200 DM,60.0,muito bom,carr0,14782,100 - 500 DM,> 7 anos,3.0,4.0,60,banco,outros,2,gerencial,1,sim,sim
< 0 DM,48.0,muito bom,negocios,7685,< 100 DM,4 - 7 anos,2.0,4.0,37,nenhum,alugada,1,qualificado,1,nao,sim
desconhecido,18.0,ruim,moveis/eletrodomesticos,2320,< 100 DM,desempregado,2.0,3.0,34,nenhum,propria,2,qualificado,1,nao,nao
desconhecido,7.0,ruim,moveis/eletrodomesticos,846,desconhecido,> 7 anos,3.0,4.0,36,nenhum,outros,1,qualificado,1,nao,nao
1 - 200 DM,36.0,bom,carro,14318,< 100 DM,> 7 anos,4.0,2.0,57,nenhum,outros,1,gerencial,1,sim,sim
desconhecido,6.0,critico,carro,362,100 - 500 DM,1 - 4 anos,4.0,4.0,52,nenhum,propria,2,nao-qualificado,1,nao,nao
< 0 DM,20.0,bom,moveis/eletrodomesticos,2212,desconhecido,4 - 7 anos,4.0,4.0,39,nenhum,propria,1,qualificado,1,sim,nao
1 - 200 DM,18.0,bom,carro,12976,< 100 DM,desempregado,3.0,4.0,38,nenhum,outros,1,gerencial,1,sim,sim
desconhecido,22.0,bom,carro,1283,desconhecido,4 - 7 anos,4.0,4.0,25,nenhum,alugada,1,qualificado,1,nao,nao
> 200 DM,12.0,bom,carro,1330,< 100 DM,< 1 ano,4.0,1.0,26,nenhum,propria,1,qualificado,1,nao,nao
desconhecido,30.0,ruim,negocios,4272,100 - 500 DM,1 - 4 anos,2.0,2.0,26,nenhum,propria,2,nao-qualificado,1,nao,nao
desconhecido,18.0,critico,moveis/eletrodomesticos,2238,< 100 DM,1 - 4 anos,2.0,1.0,25,nenhum,propria,2,qualificado,1,nao,nao
desconhecido,18.0,bom,moveis/eletrodomesticos,1126,desconhecido,< 1 ano,4.0,2.0,21,nenhum,alugada,1,qualificado,1,sim,nao
1 - 200 DM,18.0,critico,moveis/eletrodomesticos,7374,< 100 DM,desempregado,4.0,4.0,40,loja,propria,2,gerencial,1,sim,nao
1 - 200 DM,15.0,critico,negocios,2326,500 - 1000 DM,1 - 4 anos,2.0,4.0,27,banco,propria,1,qualificado,1,nao,nao
desconhecido,9.0,bom,negocios,1449,< 100 DM,4 - 7 anos,3.0,2.0,27,nenhum,propria,2,qualificado,1,nao,nao
desconhecido,18.0,bom,carro,1820,< 100 DM,1 - 4 anos,2.0,2.0,30,nenhum,propria,1,gerencial,1,sim,nao
1 - 200 DM,12.0,bom,moveis/eletrodomesticos,983,> 1000 DM,< 1 ano,1.0,4.0,19,nenhum,alugada,1,nao-qualificado,1,nao,nao
< 0 DM,36.0,bom,carro,3249,< 100 DM,4 - 7 anos,2.0,4.0,39,banco,outros,1,gerencial,2,sim,nao
< 0 DM,6.0,critico,moveis/eletrodomesticos,1957,< 100 DM,4 - 7 anos,1.0,4.0,31,nenhum,propria,1,qualificado,1,nao,nao
desconhecido,9.0,critico,moveis/eletrodomesticos,2406,< 100 DM,desempregado,2.0,3.0,31,nenhum,propria,1,gerencial,1,nao,nao
1 - 200 DM,39.0,ruim,educacao,11760,100 - 500 DM,4 - 7 anos,2.0,3.0,32,nenhum,alugada,1,qualificado,1,sim,nao
< 0 DM,12.0,bom,moveis/eletrodomesticos,2578,< 100 DM,desempregado,3.0,4.0,55,nenhum,outros,1,gerencial,1,nao,nao
< 0 DM,36.0,critico,moveis/eletrodomesticos,2348,< 100 DM,1 - 4 anos,3.0,2.0,46,nenhum,propria,2,qualificado,1,sim,nao
1 - 200 DM,12.0,bom,carro,1223,< 100 DM,> 7 anos,1.0,1.0,46,nenhum,alugada,2,qualificado,1,nao,sim
desconhecido,24.0,critico,moveis/eletrodomesticos,1516,> 1000 DM,1 - 4 anos,4.0,1.0,43,nenhum,propria,2,nao-qualificado,1,nao,nao
desconhecido,18.0,bom,moveis/eletrodomesticos,1473,< 100 DM,< 1 ano,3.0,4.0,39,nenhum,propria,1,qualificado,1,sim,nao
1 - 200 DM,18.0,critico,negocios,1887,desconhecido,1 - 4 anos,4.0,4.0,28,banco,propria,2,qualificado,1,nao,nao
desconhecido,24.0,ruim,negocios,8648,< 100 DM,< 1 ano,2.0,2.0,27,banco,propria,2,qualificado,1,sim,sim
desconhecido,14.0,ruim,carro,802,< 100 DM,1 - 4 anos,4.0,2.0,27,nenhum,propria,2,nao-qualificado,1,nao,nao
1 - 200 DM,18.0,ruim,carro,2899,desconhecido,> 7 anos,4.0,4.0,43,nenhum,propria,1,qualificado,2,nao,nao
1 - 200 DM,24.0,bom,moveis/eletrodomesticos,2039,< 100 DM,< 1 ano,1.0,1.0,22,nenhum,propria,1,qualificado,1,sim,sim
desconhecido,24.0,critico,carro,2197,desconhecido,4 - 7 anos,4.0,4.0,43,nenhum,propria,2,qualificado,2,sim,nao
< 0 DM,15.0,bom,moveis/eletrodomesticos,1053,< 100 DM,< 1 ano,4.0,2.0,27,nenhum,propria,1,qualificado,1,nao,nao
desconhecido,24.0,bom,moveis/eletrodomesticos,3235,500 - 1000 DM,> 7 anos,3.0,2.0,26,nenhum,propria,1,gerencial,1,sim,nao
> 200 DM,12.0,critico,carro,939,500 - 1000 DM,4 - 7 anos,4.0,2.0,28,nenhum,propria,3,qualificado,1,sim,sim
1 - 200 DM,24.0,bom,moveis/eletrodomesticos,1967,< 100 DM,> 7 anos,4.0,4.0,20,nenhum,propria,1,qualificado,1,sim,nao
desconhecido,33.0,critico,carro,7253,< 100 DM,4 - 7 anos,3.0,2.0,35,nenhum,propria,2,gerencial,1,sim,nao
desconhecido,12.0,critico,negocios,2292,< 100 DM,desempregado,4.0,2.0,42,loja,propria,2,gerencial,1,sim,sim
desconhecido,10.0,bom,carro,1597,500 - 1000 DM,1 - 4 anos,3.0,2.0,40,nenhum,alugada,1,nao-qualificado,2,nao,nao
< 0 DM,24.0,bom,carro,1381,desconhecido,1 - 4 anos,4.0,2.0,35,nenhum,propria,1,qualificado,1,nao,sim
desconhecido,36.0,critico,carro,5842,< 100 DM,> 7 anos,2.0,2.0,35,nenhum,propria,2,qualificado,2,sim,nao
< 0 DM,12.0,bom,carro,2579,< 100 DM,< 1 ano,4.0,1.0,33,nenhum,propria,1,nao-qualificado,2,nao,sim
< 0 DM,18.0,ruim,educacao,8471,desconhecido,1 - 4 anos,1.0,2.0,23,nenhum,alugada,2,qualificado,1,sim,nao
desconhecido,21.0,bom,carro,2782,500 - 1000 DM,4 - 7 anos,1.0,2.0,31,banco,propria,1,gerencial,1,nao,nao
1 - 200 DM,18.0,bom,carro,1042,desconhecido,1 - 4 anos,4.0,2.0,33,nenhum,propria,1,qualificado,1,nao,sim
desconhecido,15.0,bom,carro,3186,> 1000 DM,4 - 7 anos,2.0,3.0,20,nenhum,alugada,1,qualificado,1,nao,nao
1 - 200 DM,12.0,bom,carro,2028,desconhecido,1 - 4 anos,4.0,2.0,30,nenhum,propria,1,qualificado,1,nao,nao
1 - 200 DM,12.0,critico,carro,958,< 100 DM,4 - 7 anos,2.0,3.0,47,nenhum,propria,2,nao-qualificado,2,nao,nao
desconhecido,21.0,ruim,moveis/eletrodomesticos,1591,100 - 500 DM,4 - 7 anos,4.0,3.0,34,nenhum,propria,2,gerencial,1,nao,nao
1 - 200 DM,12.0,bom,moveis/eletrodomesticos,2762,desconhecido,> 7 anos,1.0,2.0,25,banco,propria,1,qualificado,1,sim,sim
1 - 200 DM,18.0,bom,carro,2779,< 100 DM,1 - 4 anos,1.0,3.0,21,nenhum,alugada,1,qualificado,1,sim,nao
desconhecido,28.0,critico,moveis/eletrodomesticos,2743,< 100 DM,> 7 anos,4.0,2.0,29,nenhum,propria,2,qualificado,1,nao,nao
desconhecido,18.0,critico,moveis/eletrodomesticos,1149,> 1000 DM,1 - 4 anos,4.0,3.0,46,nenhum,propria,2,qualificado,1,nao,nao
desconhecido,9.0,bom,moveis/eletrodomesticos,1313,< 100 DM,> 7 anos,1.0,4.0,20,nenhum,propria,1,qualificado,1,nao,nao
< 0 DM,18.0,critico,renovacao,1190,< 100 DM,desempregado,2.0,4.0,55,nenhum,outros,3,desempregado,2,nao,sim
desconhecido,5.0,bom,negocios,3448,< 100 DM,4 - 7 anos,1.0,4.0,74,nenhum,propria,1,nao-qualificado,1,nao,nao
1 - 200 DM,24.0,bom,carr0,11328,< 100 DM,1 - 4 anos,2.0,3.0,29,banco,propria,2,gerencial,1,sim,sim
< 0 DM,6.0,critico,moveis/eletrodomesticos,1872,< 100 DM,desempregado,4.0,4.0,36,nenhum,outros,3,gerencial,1,sim,nao
desconhecido,24.0,critico,renovacao,2058,< 100 DM,1 - 4 anos,4.0,2.0,33,nenhum,propria,2,qualificado,1,sim,nao
< 0 DM,9.0,bom,moveis/eletrodomesticos,2136,< 100 DM,1 - 4 anos,3.0,2.0,25,nenhum,propria,1,qualificado,1,nao,nao
1 - 200 DM,12.0,bom,moveis/eletrodomesticos,1484,desconhecido,1 - 4 anos,2.0,1.0,25,nenhum,propria,1,qualificado,1,sim,sim
desconhecido,6.0,bom,renovacao,660,500 - 1000 DM,4 - 7 anos,2.0,4.0,23,nenhum,alugada,1,nao-qualificado,1,nao,nao
desconhecido,24.0,critico,carro,1287,> 1000 DM,> 7 anos,4.0,4.0,37,nenhum,propria,2,qualificado,1,sim,nao
< 0 DM,42.0,critico,renovacao,3394,< 100 DM,desempregado,4.0,4.0,65,nenhum,propria,2,desempregado,1,nao,nao
> 200 DM,12.0,muito bom,negocios,609,< 100 DM,< 1 ano,4.0,1.0,26,nenhum,propria,1,desempregado,1,nao,sim
desconhecido,12.0,bom,carro,1884,< 100 DM,> 7 anos,4.0,4.0,39,nenhum,propria,1,gerencial,1,sim,nao
< 0 DM,12.0,bom,moveis/eletrodomesticos,1620,< 100 DM,1 - 4 anos,2.0,3.0,30,nenhum,propria,1,qualificado,1,nao,nao
1 - 200 DM,20.0,ruim,carr0,2629,< 100 DM,1 - 4 anos,2.0,3.0,29,banco,propria,2,qualificado,1,sim,nao
desconhecido,12.0,bom,educacao,719,< 100 DM,> 7 anos,4.0,4.0,41,banco,propria,1,nao-qualificado,2,nao,sim
1 - 200 DM,48.0,critico,moveis/eletrodomesticos,5096,< 100 DM,1 - 4 anos,2.0,3.0,30,nenhum,propria,1,gerencial,1,sim,sim
desconhecido,9.0,critico,educacao,1244,desconhecido,> 7 anos,4.0,4.0,41,nenhum,alugada,2,nao-qualificado,1,nao,nao
< 0 DM,36.0,bom,carro,1842,< 100 DM,< 1 ano,4.0,4.0,34,nenhum,propria,1,qualificado,1,sim,sim
1 - 200 DM,7.0,bom,moveis/eletrodomesticos,2576,< 100 DM,1 - 4 anos,2.0,2.0,35,nenhum,propria,1,qualificado,1,nao,nao
> 200 DM,12.0,bom,moveis/eletrodomesticos,1424,desconhecido,> 7 anos,3.0,4.0,55,nenhum,propria,1,gerencial,1,sim,nao
1 - 200 DM,15.0,ruim,renovacao,1512,> 1000 DM,1 - 4 anos,3.0,3.0,61,loja,propria,2,qualificado,1,nao,sim
desconhecido,36.0,critico,carro,11054,desconhecido,1 - 4 anos,4.0,2.0,30,nenhum,propria,1,gerencial,1,sim,nao
desconhecido,6.0,bom,moveis/eletrodomesticos,518,< 100 DM,1 - 4 anos,3.0,1.0,29,nenhum,propria,1,qualificado,1,nao,nao
desconhecido,12.0,perfeito,moveis/eletrodomesticos,2759,< 100 DM,> 7 anos,2.0,4.0,34,nenhum,propria,2,qualificado,1,nao,nao
desconhecido,24.0,bom,carro,2670,< 100 DM,> 7 anos,4.0,4.0,35,nenhum,propria,1,gerencial,1,sim,nao
< 0 DM,24.0,bom,carro,4817,< 100 DM,4 - 7 anos,2.0,3.0,31,nenhum,propria,1,qualificado,1,sim,sim
desconhecido,24.0,bom,carro,2679,< 100 DM,< 1 ano,4.0,1.0,29,nenhum,propria,1,gerencial,1,sim,nao
< 0 DM,11.0,critico,carro,3905,< 100 DM,1 - 4 anos,2.0,2.0,36,nenhum,alugada,2,qualificado,2,nao,nao
< 0 DM,12.0,bom,carro,3386,< 100 DM,> 7 anos,3.0,4.0,35,nenhum,outros,1,qualificado,1,sim,sim
< 0 DM,6.0,bom,moveis/eletrodomesticos,343,< 100 DM,< 1 ano,4.0,1.0,27,nenhum,propria,1,qualificado,1,nao,nao
desconhecido,18.0,bom,moveis/eletrodomesticos,4594,< 100 DM,< 1 ano,3.0,2.0,32,nenhum,propria,1,qualificado,1,sim,nao
< 0 DM,36.0,bom,moveis/eletrodomesticos,3620,< 100 DM,1 - 4 anos,1.0,2.0,37,nenhum,propria,1,qualificado,2,nao,nao
< 0 DM,15.0,bom,carro,1721,< 100 DM,< 1 ano,2.0,3.0,36,nenhum,propria,1,qualificado,1,nao,nao
1 - 200 DM,12.0,bom,moveis/eletrodomesticos,3017,< 100 DM,< 1 ano,3.0,1.0,34,nenhum,alugada,1,gerencial,1,nao,nao
1 - 200 DM,12.0,bom,educacao,754,desconhecido,> 7 anos,4.0,4.0,38,nenhum,propria,2,qualificado,1,nao,nao
desconhecido,18.0,bom,negocios,1950,< 100 DM,4 - 7 anos,4.0,1.0,34,loja,propria,2,qualificado,1,sim,nao
< 0 DM,24.0,bom,carro,2924,< 100 DM,1 - 4 anos,3.0,4.0,63,banco,propria,1,qualificado,2,sim,nao
< 0 DM,24.0,ruim,moveis/eletrodomesticos,1659,< 100 DM,< 1 ano,4.0,2.0,29,nenhum,alugada,1,nao-qualificado,1,sim,sim
desconhecido,48.0,ruim,moveis/eletrodomesticos,7238,desconhecido,> 7 anos,3.0,3.0,32,banco,propria,2,qualificado,2,nao,nao
desconhecido,33.0,ruim,negocios,2764,< 100 DM,1 - 4 anos,2.0,2.0,26,nenhum,propria,2,qualificado,1,sim,nao
desconhecido,24.0,ruim,carro,4679,< 100 DM,4 - 7 anos,3.0,3.0,35,nenhum,propria,2,nao-qualificado,1,sim,nao
1 - 200 DM,24.0,bom,moveis/eletrodomesticos,3092,100 - 500 DM,< 1 ano,3.0,2.0,22,nenhum,alugada,1,qualificado,1,sim,sim
< 0 DM,6.0,bom,educacao,448,< 100 DM,< 1 ano,4.0,4.0,23,nenhum,propria,1,qualificado,1,nao,sim
< 0 DM,9.0,bom,carro,654,< 100 DM,1 - 4 anos,4.0,3.0,28,nenhum,propria,1,nao-qualificado,1,nao,sim
desconhecido,6.0,bom,educacao,1238,desconhecido,desempregado,4.0,4.0,36,nenhum,propria,1,gerencial,2,sim,nao
1 - 200 DM,18.0,critico,moveis/eletrodomesticos,1245,< 100 DM,1 - 4 anos,4.0,2.0,33,nenhum,propria,1,qualificado,1,nao,sim
< 0 DM,18.0,perfeito,moveis/eletrodomesticos,3114,< 100 DM,< 1 ano,1.0,4.0,26,nenhum,alugada,1,qualificado,1,nao,sim
desconhecido,39.0,bom,carro,2569,500 - 1000 DM,1 - 4 anos,4.0,4.0,24,nenhum,propria,1,qualificado,1,nao,nao
> 200 DM,24.0,bom,moveis/eletrodomesticos,5152,< 100 DM,4 - 7 anos,4.0,2.0,25,banco,propria,1,qualificado,1,nao,nao
1 - 200 DM,12.0,bom,negocios,1037,100 - 500 DM,4 - 7 anos,3.0,4.0,39,nenhum,propria,1,nao-qualificado,1,nao,nao
< 0 DM,15.0,critico,moveis/eletrodomesticos,1478,< 100 DM,> 7 anos,4.0,4.0,44,nenhum,propria,2,qualificado,2,sim,nao
1 - 200 DM,12.0,critico,moveis/eletrodomesticos,3573,< 100 DM,1 - 4 anos,1.0,1.0,23,nenhum,propria,1,nao-qualificado,1,nao,nao
1 - 200 DM,24.0,bom,carro,1201,< 100 DM,< 1 ano,4.0,1.0,26,nenhum,propria,1,qualificado,1,nao,nao
< 0 DM,30.0,bom,moveis/eletrodomesticos,3622,> 1000 DM,> 7 anos,4.0,4.0,57,nenhum,alugada,2,qualificado,1,sim,nao
desconhecido,15.0,ruim,moveis/eletrodomesticos,960,> 1000 DM,4 - 7 anos,3.0,2.0,30,nenhum,propria,2,qualificado,1,nao,nao
desconhecido,12.0,critico,carro,1163,500 - 1000 DM,1 - 4 anos,4.0,4.0,44,nenhum,propria,1,qualificado,1,sim,nao
1 - 200 DM,6.0,ruim,carro,1209,< 100 DM,desempregado,4.0,4.0,47,nenhum,propria,1,gerencial,1,sim,sim
desconhecido,12.0,bom,moveis/eletrodomesticos,3077,< 100 DM,1 - 4 anos,2.0,4.0,52,nenhum,propria,1,qualificado,1,sim,nao
desconhecido,24.0,bom,carro,3757,< 100 DM,> 7 anos,4.0,4.0,62,nenhum,outros,1,qualificado,1,sim,nao
desconhecido,10.0,bom,carro,1418,100 - 500 DM,1 - 4 anos,3.0,2.0,35,nenhum,alugada,1,nao-qualificado,1,nao,nao
desconhecido,6.0,bom,carro,3518,< 100 DM,1 - 4 anos,2.0,3.0,26,nenhum,alugada,1,qualificado,1,nao,nao
desconhecido,12.0,critico,moveis/eletrodomesticos,1934,< 100 DM,> 7 anos,2.0,2.0,26,nenhum,propria,2,qualificado,1,nao,nao
1 - 200 DM,27.0,perfeito,negocios,8318,< 100 DM,> 7 anos,2.0,4.0,42,nenhum,outros,2,gerencial,1,sim,sim
desconhecido,6.0,critico,moveis/eletrodomesticos,1237,100 - 500 DM,1 - 4 anos,1.0,1.0,27,nenhum,propria,2,qualificado,1,nao,nao
1 - 200 DM,6.0,bom,moveis/eletrodomesticos,368,desconhecido,> 7 anos,4.0,4.0,38,nenhum,propria,1,qualificado,1,nao,nao
< 0 DM,12.0,critico,carro,2122,< 100 DM,1 - 4 anos,3.0,2.0,39,nenhum,alugada,2,nao-qualificado,2,nao,nao
< 0 DM,24.0,bom,moveis/eletrodomesticos,2996,desconhecido,1 - 4 anos,2.0,4.0,20,nenhum,propria,1,qualificado,1,nao,sim
1 - 200 DM,36.0,bom,moveis/eletrodomesticos,9034,100 - 500 DM,< 1 ano,4.0,1.0,29,nenhum,alugada,1,gerencial,1,sim,sim
desconhecido,24.0,critico,moveis/eletrodomesticos,1585,< 100 DM,4 - 7 anos,4.0,3.0,40,nenhum,propria,2,qualificado,1,nao,nao
1 - 200 DM,18.0,bom,moveis/eletrodomesticos,1301,< 100 DM,> 7 anos,4.0,2.0,32,nenhum,propria,1,nao-qualificado,1,nao,nao
> 200 DM,6.0,critico,carro,1323,100 - 500 DM,> 7 anos,2.0,4.0,28,nenhum,propria,2,qualificado,2,sim,nao
< 0 DM,24.0,bom,carro,3123,< 100 DM,< 1 ano,4.0,1.0,27,nenhum,propria,1,qualificado,1,nao,sim
< 0 DM,36.0,bom,carro,5493,< 100 DM,> 7 anos,2.0,4.0,42,nenhum,outros,1,qualificado,2,nao,nao
> 200 DM,9.0,bom,moveis/eletrodomesticos,1126,100 - 500 DM,> 7 anos,2.0,4.0,49,nenhum,propria,1,qualificado,1,nao,nao
1 - 200 DM,24.0,critico,moveis/eletrodomesticos,1216,100 - 500 DM,< 1 ano,4.0,4.0,38,banco,propria,2,qualificado,2,nao,sim
< 0 DM,24.0,bom,carro,1207,< 100 DM,< 1 ano,4.0,4.0,24,nenhum,alugada,1,qualificado,1,nao,sim
desconhecido,10.0,bom,carro,1309,desconhecido,1 - 4 anos,4.0,4.0,27,nenhum,propria,1,nao-qualificado,1,nao,sim
> 200 DM,15.0,critico,carro,2360,500 - 1000 DM,1 - 4 anos,2.0,2.0,36,nenhum,propria,1,qualificado,1,sim,nao
1 - 200 DM,15.0,muito bom,carro,6850,100 - 500 DM,desempregado,1.0,2.0,34,nenhum,propria,1,gerencial,2,sim,sim
desconhecido,24.0,bom,moveis/eletrodomesticos,1413,< 100 DM,1 - 4 anos,4.0,2.0,28,nenhum,propria,1,qualificado,1,nao,nao
desconhecido,39.0,bom,carro,8588,100 - 500 DM,> 7 anos,4.0,2.0,45,nenhum,propria,1,gerencial,1,sim,nao
< 0 DM,12.0,bom,carro,759,< 100 DM,4 - 7 anos,4.0,2.0,26,nenhum,propria,1,qualificado,1,nao,sim
desconhecido,36.0,bom,carro,4686,< 100 DM,1 - 4 anos,2.0,2.0,32,nenhum,outros,1,gerencial,1,sim,nao
> 200 DM,15.0,bom,negocios,2687,< 100 DM,4 - 7 anos,2.0,4.0,26,nenhum,alugada,1,qualificado,1,sim,nao
1 - 200 DM,12.0,ruim,moveis/eletrodomesticos,585,< 100 DM,1 - 4 anos,4.0,4.0,20,nenhum,alugada,2,qualificado,1,nao,nao
desconhecido,24.0,bom,carro,2255,desconhecido,< 1 ano,4.0,1.0,54,nenhum,propria,1,qualificado,1,nao,nao
< 0 DM,6.0,critico,carro,609,< 100 DM,4 - 7 anos,4.0,3.0,37,nenhum,propria,2,qualificado,1,nao,nao
< 0 DM,6.0,critico,carro,1361,< 100 DM,< 1 ano,2.0,4.0,40,nenhum,propria,1,nao-qualificado,2,nao,nao
desconhecido,36.0,critico,moveis/eletrodomesticos,7127,< 100 DM,< 1 ano,2.0,4.0,23,nenhum,alugada,2,qualificado,1,sim,sim
< 0 DM,6.0,bom,carro,1203,100 - 500 DM,> 7 anos,3.0,2.0,43,nenhum,propria,1,qualificado,1,sim,nao
desconhecido,6.0,critico,moveis/eletrodomesticos,700,desconhecido,> 7 anos,4.0,4.0,36,nenhum,outros,2,qualificado,1,nao,nao
desconhecido,24.0,critico,renovacao,5507,< 100 DM,> 7 anos,3.0,4.0,44,nenhum,outros,2,qualificado,1,nao,nao
< 0 DM,18.0,bom,moveis/eletrodomesticos,3190,< 100 DM,1 - 4 anos,2.0,2.0,24,nenhum,propria,1,qualificado,1,nao,sim
< 0 DM,48.0,perfeito,moveis/eletrodomesticos,7119,< 100 DM,1 - 4 anos,3.0,4.0,53,nenhum,outros,2,qualificado,2,nao,sim
desconhecido,24.0,bom,carro,3488,100 - 500 DM,4 - 7 anos,3.0,4.0,23,nenhum,propria,1,qualificado,1,nao,nao
1 - 200 DM,18.0,bom,moveis/eletrodomesticos,1113,< 100 DM,1 - 4 anos,4.0,4.0,26,nenhum,propria,1,nao-qualificado,2,nao,nao
1 - 200 DM,26.0,bom,carro,7966,< 100 DM,< 1 ano,2.0,3.0,30,nenhum,propria,2,qualificado,1,nao,nao
desconhecido,15.0,critico,educacao,1532,100 - 500 DM,1 - 4 anos,4.0,3.0,31,nenhum,propria,1,qualificado,1,nao,nao
desconhecido,4.0,critico,moveis/eletrodomesticos,1503,< 100 DM,4 - 7 anos,2.0,1.0,42,nenhum,propria,2,nao-qualificado,2,nao,nao
< 0 DM,36.0,bom,moveis/eletrodomesticos,2302,< 100 DM,1 - 4 anos,4.0,4.0,31,nenhum,alugada,1,qualificado,1,nao,sim
< 0 DM,6.0,bom,carro,662,< 100 DM,< 1 ano,3.0,4.0,41,nenhum,propria,1,nao-qualificado,2,sim,nao
1 - 200 DM,36.0,bom,educacao,2273,< 100 DM,4 - 7 anos,3.0,1.0,32,nenhum,propria,2,qualificado,2,nao,nao
1 - 200 DM,15.0,bom,carro,2631,100 - 500 DM,1 - 4 anos,2.0,4.0,28,nenhum,alugada,2,qualificado,1,sim,sim
desconhecido,12.0,ruim,carro,1503,< 100 DM,1 - 4 anos,4.0,4.0,41,nenhum,alugada,1,qualificado,1,nao,nao
desconhecido,24.0,bom,moveis/eletrodomesticos,1311,100 - 500 DM,4 - 7 anos,4.0,3.0,26,nenhum,propria,1,qualificado,1,sim,nao
desconhecido,24.0,bom,moveis/eletrodomesticos,3105,desconhecido,< 1 ano,4.0,2.0,25,nenhum,propria,2,qualificado,1,nao,nao
> 200 DM,21.0,critico,educacao,2319,< 100 DM,< 1 ano,2.0,1.0,33,nenhum,alugada,1,qualificado,1,nao,sim
< 0 DM,6.0,bom,carro,1374,desconhecido,desempregado,4.0,3.0,75,nenhum,propria,1,gerencial,1,sim,nao
1 - 200 DM,18.0,critico,moveis/eletrodomesticos,3612,< 100 DM,> 7 anos,3.0,4.0,37,nenhum,propria,1,qualificado,1,sim,nao
< 0 DM,48.0,bom,carro,7763,< 100 DM,> 7 anos,4.0,4.0,42,banco,outros,1,gerencial,1,nao,sim
> 200 DM,18.0,bom,moveis/eletrodomesticos,3049,< 100 DM,< 1 ano,1.0,1.0,45,loja,propria,1,nao-qualificado,1,nao,nao
1 - 200 DM,12.0,bom,moveis/eletrodomesticos,1534,< 100 DM,< 1 ano,1.0,1.0,23,nenhum,alugada,1,qualificado,1,nao,sim
desconhecido,24.0,ruim,carro,2032,< 100 DM,> 7 anos,4.0,4.0,60,nenhum,outros,2,qualificado,1,sim,nao
< 0 DM,30.0,bom,moveis/eletrodomesticos,6350,desconhecido,> 7 anos,4.0,4.0,31,nenhum,propria,1,qualificado,1,nao,sim
> 200 DM,18.0,bom,moveis/eletrodomesticos,2864,< 100 DM,1 - 4 anos,2.0,1.0,34,nenhum,propria,1,nao-qualificado,2,nao,sim
desconhecido,12.0,critico,carro,1255,< 100 DM,> 7 anos,4.0,4.0,61,nenhum,propria,2,nao-qualificado,1,nao,nao
< 0 DM,24.0,ruim,carro,1333,< 100 DM,desempregado,4.0,2.0,43,nenhum,outros,2,qualificado,2,nao,sim
desconhecido,24.0,critico,carro,2022,< 100 DM,1 - 4 anos,4.0,4.0,37,nenhum,propria,1,qualificado,1,sim,nao
desconhecido,24.0,bom,moveis/eletrodomesticos,1552,< 100 DM,4 - 7 anos,3.0,1.0,32,banco,propria,1,qualificado,2,nao,nao
< 0 DM,12.0,muito bom,moveis/eletrodomesticos,626,< 100 DM,1 - 4 anos,4.0,4.0,24,banco,propria,1,nao-qualificado,1,nao,sim
desconhecido,48.0,critico,carro,8858,desconhecido,4 - 7 anos,2.0,1.0,35,nenhum,outros,2,qualificado,1,sim,nao
desconhecido,12.0,critico,renovacao,996,desconhecido,4 - 7 anos,4.0,4.0,23,nenhum,propria,2,qualificado,1,nao,nao
desconhecido,6.0,muito bom,moveis/eletrodomesticos,1750,500 - 1000 DM,> 7 anos,2.0,4.0,45,banco,propria,1,nao-qualificado,2,nao,nao
< 0 DM,48.0,bom,moveis/eletrodomesticos,6999,< 100 DM,4 - 7 anos,1.0,1.0,34,nenhum,propria,2,qualificado,1,sim,sim
1 - 200 DM,12.0,critico,carro,1995,100 - 500 DM,< 1 ano,4.0,1.0,27,nenhum,propria,1,qualificado,1,nao,nao
1 - 200 DM,9.0,bom,educacao,1199,< 100 DM,4 - 7 anos,4.0,4.0,67,nenhum,propria,2,gerencial,1,sim,nao
1 - 200 DM,12.0,bom,moveis/eletrodomesticos,1331,< 100 DM,< 1 ano,2.0,1.0,22,loja,propria,1,qualificado,1,nao,sim
1 - 200 DM,18.0,perfeito,carro,2278,100 - 500 DM,< 1 ano,3.0,3.0,28,nenhum,propria,2,qualificado,1,nao,sim
desconhecido,21.0,perfeito,carro,5003,desconhecido,1 - 4 anos,1.0,4.0,29,banco,propria,2,qualificado,1,sim,sim
< 0 DM,24.0,muito bom,moveis/eletrodomesticos,3552,< 100 DM,4 - 7 anos,3.0,4.0,27,banco,propria,1,qualificado,1,nao,sim
1 - 200 DM,18.0,critico,moveis/eletrodomesticos,1928,< 100 DM,< 1 ano,2.0,2.0,31,nenhum,propria,2,nao-qualificado,1,nao,sim
< 0 DM,24.0,bom,carro,2964,desconhecido,> 7 anos,4.0,4.0,49,banco,outros,1,qualificado,2,sim,nao
